Active,Assisted,Square,Repetition,Area,Depth,Treatment,CH4,CO2,N2O,C,Soil_class
1,0,A,1,area_1,0-10,a_Sugarcane,-13.77,128.93,5.59,24.68,Clay
1,0,A,2,area_1,0-10,a_Sugarcane,-15.22,106.86,7.77,21.34,Clay
1,0,A,3,area_1,0-10,a_Sugarcane,-14.41,126.98,18.1,20.4,Clay
1,0,A,4,area_1,0-10,a_Sugarcane,-13.32,147.39,7.93,20.52,Clay
1,0,A,5,area_1,0-10,a_Sugarcane,-17.69,133.58,9.49,21.14,Clay
1,0,B,1,area_1,0-10,a_Sugarcane,-8.93,131.46,7.83,18.71,Clay
1,0,B,2,area_1,0-10,a_Sugarcane,-9.91,140.74,12.81,17.74,Clay
1,0,B,3,area_1,0-10,a_Sugarcane,-21.76,210.95,12.65,19.97,Clay
1,0,B,4,area_1,0-10,a_Sugarcane,4.18,101.31,13.21,19.45,Clay
1,0,B,5,area_1,0-10,a_Sugarcane,-6.09,171.17,11.72,18.17,Clay
1,0,C,1,area_2,0-10,a_Sugarcane,-11.9,58.52,27.54,29.86,Clay
1,0,C,2,area_2,0-10,a_Sugarcane,-24.04,211.58,41.97,30.83,Clay Loam
1,0,C,3,area_2,0-10,a_Sugarcane,-16.44,190.43,35.85,27.42,Clay Loam
1,0,C,4,area_2,0-10,a_Sugarcane,-3.95,147.45,30.27,19.97,Clay
1,0,C,5,area_2,0-10,a_Sugarcane,-9.01,180.51,25.8,25.46,Clay
1,0,A,1,area_1,10--20,a_Sugarcane,-28.06,187.85,,17.66,
1,0,A,2,area_1,10--20,a_Sugarcane,-26.17,141.51,,19.56,
1,0,A,3,area_1,10--20,a_Sugarcane,-28.48,176.12,,18.06,
1,0,A,4,area_1,10--20,a_Sugarcane,-14.36,138.9,,14.61,
1,0,A,5,area_1,10--20,a_Sugarcane,-19.49,248.19,,15.68,
1,0,B,1,area_1,10--20,a_Sugarcane,-29.88,151.41,,19.79,
1,0,B,2,area_1,10--20,a_Sugarcane,-33.5,125.09,,16.44,
1,0,B,3,area_1,10--20,a_Sugarcane,-20.28,162.31,,18.51,
1,0,B,4,area_1,10--20,a_Sugarcane,-19.14,146.52,,16.14,
1,0,B,5,area_1,10--20,a_Sugarcane,-15.47,152.38,,16.14,
1,0,C,1,area_2,10--20,a_Sugarcane,-29.1,85.5,,16.42,
1,0,C,2,area_2,10--20,a_Sugarcane,-15.96,191.94,,21.48,
1,0,C,3,area_2,10--20,a_Sugarcane,-9.68,270.58,,17.99,
1,0,C,4,area_2,10--20,a_Sugarcane,-9.72,188.33,,17.52,
1,0,C,5,area_2,10--20,a_Sugarcane,-25.92,139.02,,19.53,
1,0,A,1,area_1,20-30,a_Sugarcane,-27.26,160.47,,14.43,
1,0,A,2,area_1,20-30,a_Sugarcane,-19.36,129.65,,15.63,
1,0,A,3,area_1,20-30,a_Sugarcane,-23.51,217.38,,15.47,
1,0,A,4,area_1,20-30,a_Sugarcane,-22.35,153,,13.6,
1,0,A,5,area_1,20-30,a_Sugarcane,-25.82,154.08,,13.14,
1,0,B,1,area_1,20-30,a_Sugarcane,-29.45,183.21,,16.05,
1,0,B,2,area_1,20-30,a_Sugarcane,-19.44,89.22,,15.77,
1,0,B,3,area_1,20-30,a_Sugarcane,-28.4,206.73,,17.05,
1,0,B,4,area_1,20-30,a_Sugarcane,-32.93,117.89,,15.69,
1,0,B,5,area_1,20-30,a_Sugarcane,-31.79,199.16,,15.5,
1,0,C,1,area_2,20-30,a_Sugarcane,-27.65,190.27,,14.3,
1,0,C,2,area_2,20-30,a_Sugarcane,-19.53,324.06,,17.28,
1,0,C,3,area_2,20-30,a_Sugarcane,-19.16,648.39,,14.68,
1,0,C,4,area_2,20-30,a_Sugarcane,-17.48,223.54,,16.3,
1,0,C,5,area_2,20-30,a_Sugarcane,-8.68,204.93,,17.35,
0,1,D,1,area_3,0-10,b_Pasture,-7.77,75.45,5.37,28.58,Clay Loam
0,1,D,2,area_3,0-10,b_Pasture,-8.52,96.59,13.43,22.95,Clay Loam
0,1,D,3,area_3,0-10,b_Pasture,-2.96,61.27,-8.29,26.82,Clay
0,1,D,4,area_3,0-10,b_Pasture,24.57,70.11,43.86,37.19,Clay
0,1,D,5,area_3,0-10,b_Pasture,19.02,120.55,24.1,32.47,Clay
0,1,E,1,area_3,0-10,b_Pasture,-9.31,189.01,23.39,29.2,Sandy Clay Loam
0,1,E,2,area_3,0-10,b_Pasture,-11.03,218.16,11.98,20.77,Clay
0,1,E,3,area_3,0-10,b_Pasture,-8.33,74.63,26.63,25.68,Sandy Clay Loam
0,1,E,4,area_3,0-10,b_Pasture,-6,61.69,39.27,19.76,Clay Loam
0,1,E,5,area_3,0-10,b_Pasture,-5.72,95.62,26.42,26.5,Clay Loam
0,1,F,1,area_3,0-10,b_Pasture,-6.02,73.49,23.39,24.63,Clay
0,1,F,2,area_3,0-10,b_Pasture,-9.91,101.35,11.98,21.51,Clay
0,1,F,3,area_3,0-10,b_Pasture,-3.94,59.23,-8.29,23.84,Clay
0,1,F,4,area_3,0-10,b_Pasture,26.86,79.24,43.86,16.3,Clay
0,1,F,5,area_3,0-10,b_Pasture,17.65,122.42,24.1,21.55,Clay
0,1,D,1,area_3,10--20,b_Pasture,-10.07,113.18,,15.17,
0,1,D,2,area_3,10--20,b_Pasture,-12.76,130.54,,19.14,
0,1,D,3,area_3,10--20,b_Pasture,7.3,81.48,,14.86,
0,1,D,4,area_3,10--20,b_Pasture,5.42,76.46,,20.1,
0,1,D,5,area_3,10--20,b_Pasture,17.29,157.99,,16.77,
0,1,E,1,area_3,10--20,b_Pasture,-13.1,126.23,,17.94,
0,1,E,2,area_3,10--20,b_Pasture,-8.69,146.31,,13.42,
0,1,E,3,area_3,10--20,b_Pasture,-10.09,108.64,,16.98,
0,1,E,4,area_3,10--20,b_Pasture,-9.37,105.19,,16.15,
0,1,E,5,area_3,10--20,b_Pasture,-12.64,115.15,,17.41,
0,1,F,1,area_3,10--20,b_Pasture,-12.25,111.74,,17.72,
0,1,F,2,area_3,10--20,b_Pasture,-12.42,129.3,,14.37,
0,1,F,3,area_3,10--20,b_Pasture,6.06,77.73,,18.99,
0,1,F,4,area_3,10--20,b_Pasture,5.59,73.44,,14.73,
0,1,F,5,area_3,10--20,b_Pasture,14.57,158.24,,18.17,
0,1,D,1,area_3,20-30,b_Pasture,-8.45,138.41,,16.81,
0,1,D,2,area_3,20-30,b_Pasture,-10.48,139.35,,16.94,
0,1,D,3,area_3,20-30,b_Pasture,-18.48,344.28,,16.03,
0,1,D,4,area_3,20-30,b_Pasture,-11.61,134.84,,15.99,
0,1,D,5,area_3,20-30,b_Pasture,8.74,183.4,,14.88,
0,1,E,1,area_3,20-30,b_Pasture,-14.11,179.59,,16.4,
0,1,E,2,area_3,20-30,b_Pasture,-15.8,251.34,,14.57,
0,1,E,3,area_3,20-30,b_Pasture,-19.51,183.86,,14.54,
0,1,E,4,area_3,20-30,b_Pasture,-12.68,188.86,,13.08,
0,1,E,5,area_3,20-30,b_Pasture,-4.74,112.46,,16.19,
0,1,F,1,area_3,20-30,b_Pasture,-12.12,165.21,,16.37,
0,1,F,2,area_3,20-30,b_Pasture,-13.4,136.56,,15.86,
0,1,F,3,area_3,20-30,b_Pasture,-21.57,318.92,,16,
0,1,F,4,area_3,20-30,b_Pasture,-8.9,129.17,,14.38,
0,1,F,5,area_3,20-30,b_Pasture,10.12,182.4,,18.68,
1,0,H,1,area_4,0-10,c_Active_< 8,-58.43,107.12,6.62,27.21,Clay
1,0,H,2,area_4,0-10,c_Active_< 8,-92.27,175.61,3.35,32.32,Clay
1,0,H,3,area_4,0-10,c_Active_< 8,-60.99,137.72,4.48,22.88,Clay
1,0,H,4,area_4,0-10,c_Active_< 8,-50.35,167.38,4.49,28.73,Clay
1,0,H,5,area_4,0-10,c_Active_< 8,-78.5,200.76,8.25,28.99,Clay
1,0,I,1,area_4,0-10,c_Active_< 8,-55.79,132.4,7.25,26.67,Clay
1,0,I,2,area_4,0-10,c_Active_< 8,-67.9,247.11,7.13,23.89,Clay
1,0,I,3,area_4,0-10,c_Active_< 8,-50.58,91.97,5.03,22.36,Clay
1,0,I,4,area_4,0-10,c_Active_< 8,-44.83,210,7.09,23.12,Clay
1,0,I,5,area_4,0-10,c_Active_< 8,-58.57,135.24,9.74,23.95,Clay
1,0,G,1,area_4,0-10,c_Active_< 8,-39.91,152.51,6.66,28,Clay
1,0,G,2,area_4,0-10,c_Active_< 8,-56.87,183.9,9.02,21.76,Clay
1,0,G,3,area_4,0-10,c_Active_< 8,-89.53,185.51,13.82,27.43,Clay
1,0,G,4,area_4,0-10,c_Active_< 8,-29.27,106.37,21.88,23.18,Clay
1,0,G,5,area_4,0-10,c_Active_< 8,-55.34,154.72,9.91,25.83,Clay
1,0,G,5,area_4,10--20,c_Active_< 8,-78.47,145.24,,20.82,
1,0,H,1,area_4,10--20,c_Active_< 8,-83.77,184.2,,23.87,
1,0,H,2,area_4,10--20,c_Active_< 8,-125.19,219.22,,21.97,
1,0,H,3,area_4,10--20,c_Active_< 8,-98.07,156.84,,20.33,
1,0,H,4,area_4,10--20,c_Active_< 8,-71.36,202.35,,19.15,
1,0,H,5,area_4,10--20,c_Active_< 8,-88.17,210.23,,18.92,
1,0,I,1,area_4,10--20,c_Active_< 8,-43.64,132.31,,19.72,
1,0,I,2,area_4,10--20,c_Active_< 8,-94.47,246.42,,17.07,
1,0,I,3,area_4,10--20,c_Active_< 8,-61.04,102.49,,19.66,
1,0,I,4,area_4,10--20,c_Active_< 8,-29.19,131.82,,21.4,
1,0,I,5,area_4,10--20,c_Active_< 8,-112.43,203.4,,18.51,
1,0,G,1,area_4,10--20,c_Active_< 8,-71,213.39,,22.49,
1,0,G,2,area_4,10--20,c_Active_< 8,-74.89,199.67,,21.09,
1,0,G,3,area_4,10--20,c_Active_< 8,-121.88,206.11,,22.36,
